GB801131483,001176923-0403
GB801080903,000876304-0308
GB801080902,000536317-0103
GB801181920,000570737-0103
GB801131465,000265449-0103
GB801181921,000227482-0103
GB801080907,000293138-0103
GB801181923,003699075-0202
GB801181924,001147815-0103
GB801131469,001056957-0103
GB801222102,000287476-0103
GB801222101,003101523-0103
GB801191966,001120822-0103
GB801181925,000826378-0403
GB801191967,000288559-0103
GB801181926,000953761-0103
DB801960115,000241538-0403
GB802030039,000510107-0504
GB801191964,000004697-0103
GB801840157,000412608-0103
GB801131471,000222947-0403
GB801191960,000928687-0402
GB801191961,000085006-0403
GB801131498,000491423-0403
GB801040480,000894881-0401
GB801040481,000394822-0403
GB801121450,000428213-0102
GB801982301,000299814-0403
GB801121444,000354344-0403
GB801121443,000101862-0103
GB801040479,000423856-0403
GB801121449,000301713-0103
GB801121448,000201624-0403
GB801040471,000312864-0101
GB801040478,000444701-0103
GB801040476,000418756-0103
GB801131485,001098755-0102
GB801040470,000413109-0103
GB801982307,000932438-0403
GB801982305,000358809-0101
GB801121463,002363925-0303
GB801121462,002160056-0103
GB801121460,000858223-0103
GB801121455,000477816-0103
GB801982310,000152767-0403
GB801121459,000372188-0103
GB801121458,000368329-0103
GB801121457,000239502-0103
GB801040463,000280484-0403
GB801040460,000958039-0103
GB801040466,001679667-0403
GB801840178,001281927-0102
GB801131492,000563241-0102
GB801921201,002941094-0103
GB801962193,001453676-0103
GB801031747,000528744-0103
GB801030410,000378397-0103
GB801982319,000541417-0103
GB801962197,000670544-0401
GB801040459,001482881-0403
GB801931695,000272636-0201
GB801040457,000203368-0403
GB801040458,000593653-0103
GB802010013,002509506-0503
GB802010014,000302092-0504
GB801040451,000491486-0103
GB801931692,000086822-0403
GB801040453,000795706-0401
GB801030408,000269862-0103
GB801030409,001340791-0202
GB801030403,000484466-0101
DB801201343,002383114-0206
GB801030404,000423944-0103
GB801962183,000538501-0103
GB801962182,000140066-0101
GB802010006,000438042-0503
GB801982334,003712574-0103
GB801040448,001163103-0403
GB801980154,000538052-0103
GB801040440,000354732-0103
GB801040443,001816027-0103
GB801080978,000496664-0403
GB802040014,000271147-0503
GB801982344,000948864-0202
GB801910976,002667608-0102
GB801910970,000548772-0401
GB801982340,002508653-0402
GB801931679,004414499-0403
GB801080972,000882726-0403
GB801080975,000181036-0403
GB801080969,000172468-0103
GB801080968,000250645-0103
GB801970128,000407183-0103
GB802040003,000940665-0504
GB801992390,001904033-0103
GB801982346,000299586-0403
GB801931685,000244902-0101
GB801982353,000301546-0202
GB801982351,000865331-0308
GB801910960,000274186-0103
GB801982350,000413224-0203
GB801931689,000425607-0103
GB801080962,000359425-0103
GB801992389,000357974-0102
GB801952124,000425537-0403
GB801080963,000190091-0403
GB801952108,000285256-0403
GB801982359,000492075-0403
GB801982365,000426717-0103
GB801982363,000416599-0102
GB801070716,000167605-0404
GB801070715,000236068-0103
GB801970142,000291209-0403
GB801970143,000140393-0103
GB801880645,001233549-0204
GB801962141,000491168-0401
GB801040491,000849576-0103
GB801040490,000423802-0403
GB801962142,000383249-0202
GB801870615,000285308-0204
GB801982368,000578036-0103
GB801982378,000528117-0403
GB801982377,000085218-0203
GB801982375,000114967-0103
GB801982374,000235885-0103
GB801980191,000877202-0103
GB801080988,000166549-0103
GB801080987,001589502-0103
GB801880658,000341503-0307
GB801111249,000484642-0103
GB801080936,000368232-0103
GB801111246,000396203-0403
GB801910927,000890502-0403
GB801192000,001567714-0103
GB801910933,000378246-0102
GB801192001,000533711-0103
GB801020228,000297921-0403
GB801111253,000258165-0403
GB801111252,000487327-0103
GB801192009,000388772-0204
GB801080933,000392489-0103
GB801950395,001113565-0103
GB801080932,002524408-0401
GB801080931,000535807-0104
GB802180008,000459277-0502
GB801020240,001259414-0401
GB801080924,000557773-0103
GB801080923,000904185-0103
GB801111258,000148089-0103
GB801080927,000548084-0103
GB801931640,000467159-0101
GB801910921,000510488-0202
GB801030272,000519116-0102
GB801111263,000383849-0303
GB801020238,000547053-0401
GB802030017,002234031-0503
GB802030018,000487875-0503
GB801111262,000144294-0403
GB801020231,000361991-0403
GB801080957,001982056-0103
GB801921600,000384641-0403
DB802060007,000281594-0504
GB801111269,000230962-0104
GB801151717,000503495-0102
GB801910955,000382924-0304
GB801151713,000442474-0204
GB801941888,000261893-0401
GB801151712,000505388-0401
GB801020207,000472532-0103
GB801111275,002239899-0101
GB801080951,000184499-0103
GB801020204,001271561-0403
GB801111276,000438651-0204
GB801080953,000290277-0103
GB801080952,000539198-0102
GB801080947,001453507-0103
GB801111279,000250372-0103
GB802040024,000512512-0505
GB801111278,000378467-0103
GB801080949,000397455-0103
GB801931617,000398035-0103
GB801910941,000420605-0206
GB801151706,000355727-0103
GB801151702,002074004-0403
GB801151703,001314738-0401
GB801080940,000400685-0403
GB801020215,000165809-0103
GB801111285,000705275-0102
GB801080942,000405951-0103
GB801111283,000274423-0102
GB801020210,000234175-0103
GB801070770,000311824-0103
GB801000422,000527201-0103
DB801161075,001334969-0403
GB801931823,000482907-0401
GB801070778,000233108-0403
GB801070777,000070732-0103
GB801070779,001982798-0403
GB801070774,001270018-0102
GB801931830,000946123-0102
GB801202064,001854896-0102
GB801070761,000268928-0401
GB801070760,000413499-0103
GB801091001,001015245-0305
GB801091003,000254485-0102
GB801070769,000232907-0102
GB801070768,000181009-0406
GB801212094,001575359-0103
GB801091006,000145702-0204
GB801070764,000437347-0403
GB801202053,001854781-0102
GB801860529,000523239-0103
GB801202054,002845725-0303
GB801202055,002845716-0303
DB801110721,000288683-0103
GB801202050,002091586-0103
GB801860562,000545054-0103
GB801020252,002293384-0103
GB801070790,000928933-0103
GB801100013,001936108-0103
GB801931802,000160119-0102
GB801941851,000212299-0102
GB801030296,000454927-0403
GB801070795,000500826-0103
GB801070797,000117785-0103
GB801020248,000122619-0103
GB801020244,000478944-0403
DB801050302,001624261-0103
GB801070783,002057924-0101
GB801070789,000284297-0306
GB801030289,000361364-0103
GB801941860,000506753-0401
GB801070784,000317645-0404
GB801030287,000339503-0101
GB801030293,000147588-0101
GB801030294,000159026-0401
GB801030295,001055671-0103
GB802990010,000729502-0505
DB802190009,000431226-0503
GB801212069,002500903-0403
GB801212067,003233732-0403
GB801070734,000219794-0103
GB801070733,001404001-0103
GB801070730,000398468-0103
GB801202018,001848429-0103
GB801010032,000183026-0304
GB801960112,002201182-0202
GB801202024,001851309-0102
GB801010023,000415338-0103
GB801202026,002209972-0102
GB801070738,000167332-0103
DB801000027,000540007-0103
GB801070737,002153803-0103
GB801141613,002738122-0401
GB801141614,000467917-0103
GB801141618,000555244-0102
GB801141619,000530453-0102
DB801161041,000407483-0405
GB801860574,001997169-0403
GB802990029,002232005-0504
GB801070723,002749652-0103
GB801070722,000267403-0101
GB801070724,000208776-0403
GB801010041,000231463-0102
GB801010042,000418023-0403
GB801070727,000188601-0403
GB801010039,000452973-0403
GB801141600,000353155-0404
GB801070729,000174907-0403
GB801141602,000967297-0403
GB801141604,000697582-0103
GB801000001,000377921-0403
GB801860568,000545063-0103
GB801141608,000490243-0103
GB801141609,000983273-0103
GB801212088,003365368-0103
GB801212087,002856567-0103
GB801070750,002066607-0401
GB801212085,001904827-0103
GB801060708,000771673-0403
GB801000688,000420183-0204
GB801212084,002925073-0403
GB801202039,001148016-0103
GB801222098,001134437-0103
GB801990616,000450144-0204
GB801010006,000303536-0103
GB801141633,000392577-0103
GB801060704,001513727-0403
GB801010009,000352478-0401
GB801151677,000995805-0103
GB801151672,000284588-0403
GB801212076,002872313-0102
GB801850307,000276237-0401
GB801070746,000497702-0103
GB801850305,000420217-0103
GB801202028,000110281-0403
GB801212072,001043261-0101
GB801212071,001952792-0103
GB801070743,000231569-0403
GB801010021,000311736-0103
GB801212070,002682282-0403
GB801010012,000924459-0102
GB801202037,001333559-0404
GB801070749,000121069-0306
GB801010016,000352963-0403
GB801151667,000489132-0103
GB801141623,000508673-0103
GB801990623,000377339-0305
GB801151666,000399815-0103
GB801141626,000417152-0103
GB801202030,002647776-0103
GB801091072,001056745-0103
GB801000024,000285538-0401
DB801010037,000346347-0103
GB801921183,000075628-0403
GB801010070,000400994-0103
GB801010071,000793425-0401
GB801921182,001460969-0403
GB801921188,000082754-0402
GB801921186,000510761-0403
GB801141650,000199673-0403
GB801141653,000909566-0103
GB801141654,000506338-0103
GB801141655,000290047-0103
GB801141656,000434644-0102
GB801141657,000510125-0305
GB801141658,001271816-0103
GB801141659,001664324-0103
GB801000033,000306796-0103
GB801151695,002220019-0103
GB801000034,000276943-0402
GB801000037,000085872-0403
GB801151691,000334819-0103
GB801000035,002508626-0402
GB801000036,000236235-0403
GB801091086,001396105-0403
GB801000039,000321574-0401
GB801921170,001032207-0103
GB801141641,000305747-0403
GB801151689,000885465-0402
GB801151688,000415383-0103
GB801151685,001635888-0403
GB801000044,000490685-0403
GB801091050,000179848-0102
GB801050547,000246585-0103
GB801091054,000330566-0103
GB801050548,000131798-0403
GB801091053,000798181-0103
GB801091057,000267263-0401
GB801010053,000517232-0102
GB802000019,000151887-0503
GB801010055,002380086-0403
GB801850367,000464668-0103
GB801010045,000517841-0403
GB801000010,000415047-0403
GB801091061,000407129-0103
GB801091060,000219864-0102
GB801000013,000363045-0103
GB801091064,000245299-0104
GB801091069,000346198-0307
GB801010063,000426383-0403
GB802000006,000379983-0504
GB801050554,000295976-0403
GB801141660,000568101-0103
